=== Модели, отсутствующие в JSON (но есть в Excel) ===
                                    Модель Источник
              Вермонт СН-151 В хром/ХДП/МБ    Excel
                   Верона К-10 В дерево/МБ    Excel
         Кресло UTFC Бремен М-123 алюминий    Excel
     Кресло UTFC Канзас М-111 пластик/хром    Excel
    Кресло UTFC Онтарио М-105 пластик/хром    Excel
Кресло UTFC Онтарио М-405 Н/п пластик/хром    Excel
                       Престиж Нептун хром    Excel
                  Самба Люкс GTP TG/столик    Excel
                  Самба GTP пиастра/столик    Excel
                       Самба GTP TG/столик    Excel
                    СН-710 Айкью Н пластик    Excel
                          СН-710 Айкью Н/п    Excel
                          Стул кассира Б/п    Excel
                        Честер GTS TG хром    Excel
               Энжел Лайт СН-800 черный TG    Excel
            Энжел СН-800 чёрный Н/п Нео СН    Excel

=== Модели, отсутствующие в Excel (но есть в JSON) ===
                                     Модель Источник
                       Дэли ch-503 white ch     JSON
                                      Тоник     JSON
                                 Epik е-277     JSON
                              Астек пвм б/п     JSON
                        Комфорт б/п пластик     JSON
                          Логика tg пластик     JSON
                                Престиж cpt     JSON
                               Престиж люкс     JSON
                                Престиж пвм     JSON
                   Самба люкс gtp tg столик     JSON
                   Сириус с-102 нептун хром     JSON
                 Сириус с-102 рондо пластик     JSON
                 Сириус с-102 самба пластик     JSON
                     Фигаро gts к13 tg/хром     JSON
                Фигаро gts к13 пиастра/хром     JSON
                           Айкью сн-710 н_п     JSON
                     Айкью сн-710 н пластик     JSON
                Аляска сн-153 в хром/хдп/мб     JSON
                  Аризона сн-400 в хром/хдп     JSON
   Аризона сн-400 бюджет в пластик-люкс 727     JSON
                      Бремен м-123 алюминий     JSON
               Вермонт сн-151 в хром хдп мб     JSON
                     Гелакси к-49 в хром/мб     JSON
                        Гелакси к-49 в хром     JSON
                           Гермес в пластик     JSON
                              Гермес в хром     JSON
                Дакота сн-251 в пластик 727     JSON
           Дакота сн-251 в пластик-люкс 727     JSON
                       Кайман в топ-ган lux     JSON
Калифорния сн-438 в бюджет пластик-люкс 727     JSON
                   Калифорния в cн-438 хром     JSON
                  Канзас м-111 пластик/хром     JSON
                        Кендо к-41 в дерево     JSON
                       Кендо к-41 в пластик     JSON
                          Кендо к-41 в хром     JSON
                             Надир в дерево     JSON
                   Надир в пластик-люкс 727     JSON
                            Надир в пластик     JSON
                               Надир в хром     JSON
                 Онтарио м-105 пластик/хром     JSON
             Онтарио м-405 н/п пластик/хром     JSON
                                 Ройс м-704     JSON
                    Эфир с-30 в пластик 727     JSON
                              Палермо м-702     JSON
                                      Изо-2     JSON
                                      Изо-3     JSON
                                    Клуб 4l     JSON
                                    Клуб 4к     JSON
                                   Клуб gts     JSON
                                       Клуб     JSON
                        Фигаро к13 н/п хром     JSON
                                  Шелл софт     JSON

=== Несовпадения параметров (требуют исправления) ===
                                     Модель                 Параметр               JSON          Excel Нужно исправить?
                        Аэро М-808 BLACK PL                    netto                  -            9.2               Да
                        Аэро М-808 BLACK PL            package_depth                  -              -               Да
                        Аэро М-808 BLACK PL                   brutto                  -              -               Да
                        Аэро М-808 BLACK PL            typeofproduct                  -            КП                Да
                        Аэро М-808 BLACK PL         recommended_load       min=-, max=- min=-, max=120               Да
                        Аэро М-808 BLACK PL                 max_load       min=-, max=- min=-, max=150               Да
                        Аэро М-808 BLACK PL            package_width                624              -               Да
                        Аэро М-808 BLACK PL            package_depth                322              -               Да
                        Аэро М-808 BLACK PL           package_height                665              -               Да
                        Аэро М-808 BLACK PL                   brutto               11,3              -               Да
                        Аэро М-808 BLACK PL                   volume               0,13              -               Да
                        Вальтер Б/п пластик            package_width                  -              -               Да
                        Вальтер Б/п пластик              minpromtorg                  -              +               Да
                        Вальтер Б/п пластик                   volume                  -              -               Да
                        Вальтер Б/п пластик                 skeleton                  -   немонолитный               Да
                        Вальтер Б/п пластик           package_height                  -              -               Да
                        Вальтер Б/п пластик                    netto                  -              8               Да
                        Вальтер Б/п пластик            package_depth                  -              -               Да
                        Вальтер Б/п пластик                   brutto                  -              -               Да
                        Вальтер Б/п пластик            typeofproduct                  -             СП               Да
                        Вальтер Б/п пластик         recommended_load       min=-, max=-  min=-, max=90               Да
                        Вальтер Б/п пластик                 max_load       min=-, max=- min=-, max=120               Да
                        Вальтер Б/п пластик            package_width                584              -               Да
                        Вальтер Б/п пластик            package_depth                262              -               Да
                        Вальтер Б/п пластик           package_height                584              -               Да
                        Вальтер Б/п пластик                   brutto                 10              -               Да
                        Вальтер Б/п пластик                   volume               0,09              -               Да
                      Вальтер Рондо пластик            package_width                  -              -               Да
                      Вальтер Рондо пластик              minpromtorg                  -              +               Да
                      Вальтер Рондо пластик                   volume                  -              -               Да
                      Вальтер Рондо пластик                 skeleton                  -   немонолитный               Да
                      Вальтер Рондо пластик           package_height                  -              -               Да
                      Вальтер Рондо пластик                    netto                  -           8.25               Да
                      Вальтер Рондо пластик            package_depth                  -              -               Да
                      Вальтер Рондо пластик                   brutto                  -              -               Да
                      Вальтер Рондо пластик            typeofproduct                  -             СП               Да
                      Вальтер Рондо пластик         recommended_load       min=-, max=-  min=-, max=90               Да
                      Вальтер Рондо пластик                 max_load       min=-, max=- min=-, max=120               Да
                      Вальтер Рондо пластик            package_width                584              -               Да
                      Вальтер Рондо пластик            package_depth                262              -               Да
                      Вальтер Рондо пластик           package_height                584              -               Да
                      Вальтер Рондо пластик                   brutto                 10              -               Да
                      Вальтер Рондо пластик                   volume               0,09              -               Да
                       Вальтер Т-01 пластик            package_width                  -              -               Да
                       Вальтер Т-01 пластик              minpromtorg                  -              +               Да
                       Вальтер Т-01 пластик                   volume                  -              -               Да
                       Вальтер Т-01 пластик                 skeleton                  -   немонолитный               Да
                       Вальтер Т-01 пластик           package_height                  -              -               Да
