Название,Основание,Подлокотники,Газлифт,Механизм,Особенности,Ролики
Кресло Комо Н/п пластик-люкс 727 S-0422 (темно-серый),"Металлические, защитно-декоративное порошковое покрытие черного цвета (BL)",Подлокотники пластиковые с декоративными мягкими вставками используются на все ДК в исполнении Пластик-люкс 727,,,,
Кресло Идра В хром Z11 (черный),Пятилучье хромированное d=700 мм,Подлокотники «Айрон-хром» с декоративными мягкими накладками,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Идра В дерево D8 (темный орех) S-0426 (светло-коричневый),Пятилучье с деревянными накладками d=720 мм,Подлокотники деревянные используются на все ДК в исполнении Дерево,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, закрытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Идра В пластик S-0401 (черный),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые «Сенатор» используются на все ДК в исполнении Пластик,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Комо В пластик Z11 (черный),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые «Сенатор» используются на все ДК в исполнении Пластик,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Комо Бюджет В пластик 727 S-0401 (черный),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые используются на все ДК в исполнении Пластик 727,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Идра Н/п дерево D8 (темный орех) S-0422 (темно-серый),Деревянные полозья с тонировкой,,,,,
Кресло Идра Бюджет В пластик 727 S-0401 (черный),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые используются на все ДК в исполнении Пластик 727,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло СН-602 Соло Макс Комби хром SoloCH Ср S-0401/TW-01/Е11-к/S-0401 (черный),Пятилучье хромированное d=700 мм,Подлокотники хромированные с мягкими накладками,,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Комо В дерево D8 (темный орех) S-0427 (слоновая кость),Пятилучье с деревянными накладками d=720 мм,Подлокотники деревянные используются на все ДК в исполнении Дерево,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, закрытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Комо В хром KLux11 (черный),Пятилучье хромированное d=700 мм,Подлокотники «Айрон-хром» с декоративными мягкими накладками,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Стул складной Компакт Люкс BL Moderno 11 (мокко),"Металлические опоры складного стула Компакт, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Чико СН 4L BOX2 Moderno 05 (терракот),"Металлические опоры, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул Джуно D8 (темный орех) S-0401 (черный),"Опоры из натурального дерева с декоративно-защитным покрытием, покрыты полиуретановым лаком",,,,,
Стул Афродита Люкс СН TW-01/Е105-к/Е11-к (черный/оранжевый/черный),"Металлические опоры стула Афродита, защитно-декоративное покрытие никель-хром (СН)",Подлокотник пластиковый Афродита для стула Афродита и Афродита Люкс,,,,
Каталог офисных кресел,,,,,,
Стул складной Компакт GR Moderno 11 (мокко),"Металлические опоры складного стула Компакт, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Стул Асти 4К BL Velutto 03 (бежевый),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул Афродита Люкс СН TW-01/Е105-к/Е11-к (черный/оранжевый/черный) со столиком,"Металлические опоры стула Афродита, защитно-декоративное покрытие никель-хром (СН)",Подлокотник пластиковый Афродита для стула Афродита и Афродита Люкс,,,,
Стул Сиена 4К BL Velutto 03 (бежевый),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул складной Компакт BL С39 (бежевый),"Металлические опоры складного стула Компакт, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Парма 4К BL Velutto 03 (бежевый),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул С-07 Шелл бежевый GR BOX2,"Металлические опоры, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Стул С-07 Шелл бежевый BL BOX2,"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Кремона 4К BL Velutto 03 (бежевый),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул Джуно Люкс D8 (темный орех) S-0422 (темно-серый),"Опоры из натурального дерева с декоративно-защитным покрытием, покрыты полиуретановым лаком",,,,,
Стул складной Компакт Люкс GR Moderno 11 (мокко),"Металлические опоры складного стула Компакт, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Стул С-07 Шелл Софт черный СН S-0422 (темно-серый) BOX2,"Металлические опоры, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул Венус GR Z71 (серый),"Металлические опоры стула Венус, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Стул Версаль СН S-0428 (бежевый),"Металлические опоры стула Версаль, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул Венус М СН S-0401 (черный),"Металлические опоры стула Венус М, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул Бистро СН S-0401 (черный),"Металлические опоры стула Бистро, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул С-07 Шелл Софт белый GR S-0422 (темно-серый) BOX2,"Металлические опоры, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Стул Ванесса BL Z11 (черный),"Металлические опоры стула Ванесса, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Каталог офисных кресел,,,,,,
Стул Ванесса CH Z01 (белый),"Металлические опоры стула Ванесса, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул Венус СН Z01 (белый),"Металлические опоры стула Венус, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул С-07 Шелл Софт белый BL S-0422 (темно-серый) BOX2,"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Венус BL Z21 (бежевый),"Металлические опоры стула Венус, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Версаль BL Z06 (синий),"Металлические опоры стула Версаль, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Венус М BL Z11 (черный),"Металлические опоры стула Венус М, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул складной Компакт Люкс 4Н BL Z71 (серый) BOX4,"Металлические опоры складного стула Компакт, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Бистро BL Z10 (темно-коричневый),"Металлические опоры стула Бистро, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Самба СН Д8 S-0401 (черный),"Металлические опоры стула Самба, защитно-декоративное покрытие никель-хром (СН)",,,,,
Форум СН S-0406 (фисташковый),"Металлические опоры Форум, защитно-декоративное покрытие никель-хром (СН)",,,,,
Стул Самба soft BL S-0401 (черный) со столиком,"Металлические опоры стула Самба, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул Самба soft GR Z71 (серый),"Металлические опоры стула Самба, защитно-декоративное порошковое покрытие серого цвета (GR)",,,,,
Стул Самба BL Д8 S-0401 (черный) со столиком,"Металлические опоры стула Самба, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Каталог офисных кресел,,,,,,
Стул Самба soft BL Z71 (серый),"Металлические опоры стула Самба, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул Самба BL Д8 Z71 (серый),"Металлические опоры стула Самба, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул София СН S-0401 (черный),"Металлический изогнутый каркас стула София, защитно-декоративное покрытие никель-хром (СН)",,,,,
Стул С-07 Шелл белый СН ВОХ2,"Металлические опоры, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул Честер СН 4L Moderno 11 (мокко),"Металлические опоры, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул Самба GR Д8 S-0401 (черный),"Металлические опоры стула Самба, защитно-декоративное порошковое покрытие серого цвета (GR)",,,,,
Стул Лайм СН S-0406 (фисташковый),"Металлические, защитно-декоративное покрытие никель-хром (CH)",Без подлокотников,,,,
Стул Самба soft СН S-0406 (фисташковый),"Металлические опоры стула Самба, защитно-декоративное покрытие никель-хром (СН)",,,,,
Стул Самба soft СН S-0422 (темно-серый) со столиком,"Металлические опоры стула Самба, защитно-декоративное покрытие никель-хром (СН)",,,,,
Стул Честер СН Moderno 05 (терракот),"Металлический изогнутый каркас стула Честер, защитно-декоративное покрытие никель-хром (СН)",,,,,
Стул Марко СН Z29 (красный),"Металлические опоры стула Марко, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул ИЗО BL пластик зеленый,"Металлические опоры стула ИЗО, защитно-декоративное порошковое покрытие черного цвета (BL), d = 16 мм",Без подлокотников,,,,
Стул Бистро М GR S-0422 (темно-серый),"Металлические опоры стула Бистро, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Табурет GR КР S-0401 (черный),"Металлические опоры табурета, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Табурет BL ПР Z21 (бежевый),"Металлические опоры табурета, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Каталог офисных кресел,,,,,,
Секция ИЗО/3 С11 (черный) р/р,"Металлические опоры секции ИЗО 3, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Табурет СН ПР Z06 (синий),"Металлические опоры табурета, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул Венус М GR S-0401 (черный),"Металлические опоры стула Венус М, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Стул Чико BL 4L BOX2 S-0401 (черный),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Табурет BL КР Z11 (черный),"Металлические опоры табурета, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Табурет СН КР Z06 (синий),"Металлические опоры табурета, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Секция ИЗО/2 С11 (черный) р/р,"Металлические опоры секции ИЗО 2, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Стандарт GR С39 (бежевый),"Металлические опоры стула Стандарт, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Стул Бистро GR S-0422 (темно-серый),"Металлические опоры стула Бистро, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Стул Нерон СН S-0406 (фисташковый),"Металлические опоры стула Нерон, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул ИЗО СН Z11 (черный)  со столиком,"Металлические опоры стула ИЗО, защитно-декоративное покрытие никель-хром (СН),  d = 16 мм","Подлокотник ИЗО +16 к столику для стульев ИЗО, ИЗО ЛАЙТ, ИЗО/ЖТС, ИЗО/ЖТС ЛАЙТ, секций ИЗО/2,3,4",,,,
Стул Стандарт BL Z01 (белый),"Металлические опоры стула Стандарт, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул КОРА СН Z11 (черный),"Металлические опоры стула Кора, защитно-декоративное покрытие никель-хром (СН),  d = 16 мм",Без подлокотников,,,,
Стул Сильвия АРМ СН S-0401 (черный),"Металлический изогнутый каркас стула Сильвия АРМ, защитно-декоративное покрытие никель-хром (СН)",,,,,
Стул Бистро М BL Z11 (черный),"Металлические опоры стула Бистро М, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул ИЗО BL С02 (красный) со столиком,"Металлические опоры стула ИЗО, защитно-декоративное порошковое покрытие черного цвета (BL), d = 16 мм","Подлокотник ИЗО +16 к столику для стульев ИЗО, ИЗО ЛАЙТ, ИЗО/ЖТС, ИЗО/ЖТС ЛАЙТ, секций ИЗО/2,3,4",,,,
Стул ИЗО BL С06 (синий),"Металлические опоры стула ИЗО, защитно-декоративное порошковое покрытие черного цвета (BL), d = 16 мм",Без подлокотников,,,,
Каталог офисных кресел,,,,,,
Стул София BL S-0401 (черный),"Металлический изогнутый каркас стула София,защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул ИЗО СН Z01 (белый),"Металлические опоры стула ИЗО, защитно-декоративное покрытие никель-хром (СН),  d = 16 мм",Без подлокотников,,,,
Стул КОРА BL Z10 (темно-коричневый),"Металлические опоры стула Кора, защитно-декоративное порошковое покрытие черного цвета (BL), d = 16 мм",Без подлокотников,,,,
Стул ИЗО GR Z71 (серый),"Металлические опоры стула ИЗО, защитно-декоративное порошковое покрытие серого цвета (GR), d = 16 мм",Без подлокотников,,,,
Стул Бистро М СН Z01 (белый),"Металлические опоры стула Бистро М, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул складной Компакт 4Н BL Z71 (серый) BOX4,"Металлические опоры складного стула Компакт, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул София СН S-0428 (бежевый) со столиком,"Металлический изогнутый каркас стула София, защитно-декоративное покрытие никель-хром (СН)",,,,,
Стул Сильвия СН Z01 (белый),"Металлический изогнутый каркас стула Сильвия, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Табурет GR ПР S-0406 (фисташковый),"Металлические опоры табурета, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Форум BL Z01 (белый),"Металлические опоры Форум, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул Неон BL Z10 (темно-коричневый),"Металлические опоры стула Неон, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Каталог офисных кресел,,,,,,
Стул София BL Z11 (черный) со столиком,"Металлический изогнутый каркас стула София,защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул Честер BL 4L Moderno 02 (серый),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Неон GR S-0401 (черный),"Металлические опоры стула Неон, защитно-декоративное порошковое покрытие серого цвета (BL)",Без подлокотников,,,,
Стул Неон СН S-0401 (черный),"Металлические опоры стула Неон, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул складной Компакт Люкс BL Moderno 11 (мокко),"Металлические опоры складного стула Компакт, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Кресло Кремона хром Velutto 03 (бежевый),Пятилучье хромированное d=600 мм,,"Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм",Пиастра круглая — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой рукояткой,,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Стул Чико СН 4L BOX2 Moderno 05 (терракот),"Металлические опоры, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Каталог офисных кресел,,,,,,
Стул складной Компакт GR Moderno 11 (мокко),"Металлические опоры складного стула Компакт, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Стул Асти 4К BL Velutto 03 (бежевый),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул С-07 Шелл белый СН ВОХ2,"Металлические опоры, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Кресло Кремона пластик Velutto 03 (бежевый),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра круглая — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой рукояткой,,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Стул Честер СН 4L Moderno 11 (мокко),"Металлические опоры, защитно-декоративное покрытие никель-хром (СН)",Без подлокотников,,,,
Стул Сиена 4К BL Velutto 03 (бежевый),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул складной Компакт BL С39 (бежевый),"Металлические опоры складного стула Компакт, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Парма 4К BL Velutto 03 (бежевый),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул С-07 Шелл бежевый GR BOX2,"Металлические опоры, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Стул С-07 Шелл бежевый BL BOX2,"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Кремона 4К BL Velutto 03 (бежевый),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",,,,,
Стул складной Компакт Люкс GR Moderno 11 (мокко),"Металлические опоры складного стула Компакт, защитно-декоративное порошковое покрытие серого цвета (GR)",Без подлокотников,,,,
Кресло С-21 Шелл GTS белый/хром Ср,Пятилучье хромированное d=600 мм,Без подлокотников,"Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм",Пиастра круглая — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой рукояткой,,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Чехол Шелл Ромб Moderno 02 (серый),,,,,,
Каталог офисных кресел,,,,,,
Кресло С-21 Шелл GTS белый/черный Ср,Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра круглая — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой рукояткой,,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Стул Чико BL 4L BOX2 S-0401 (черный),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Стул Честер BL 4L Moderno 02 (серый),"Металлические опоры, защитно-декоративное порошковое покрытие черного цвета (BL)",Без подлокотников,,,,
Кресло С-21 Шелл GTS белый/белый Ср,Пятилучье пластиковое d=580 мм (белый),Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра круглая — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой рукояткой,,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Стул Честер СН Moderno 05 (терракот),"Металлический изогнутый каркас стула Честер, защитно-декоративное покрытие никель-хром (СН)",,,,,
Чехол Шелл Пик Moderno 02 (серый),,,,,,
Кресло С-21 Шелл GTS Софт черный/хром Ср S-0422 (темно-серый),Пятилучье хромированное d=600 мм,Без подлокотников,"Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм",Пиастра круглая — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой рукояткой,,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Кресло EPIK A-001-MB L171-172 (темно-серый/ коричневый),"Пятилучье алюминиевое А-001-МВ, покрытие матовое, диаметр 700мм","Подлокотники алюминиевые «титан» A-001-MB с мягкими накладками, матовое покрытие","Высококачественный газ-лифт 3  класса, сертифицирован по стандарту SGS и BIFMA","Удобный и проверенный временем механизм итальянского производства, с фиксацией наклона в любом положении, регулировкой жесткости отклонения и управлением высоты газ-лифта",Регулируемый подголовник имеет увеличенную подушку с уникальным рисунком,Прочные пластиковые ролики с идеальной плавностью вращения
Кресло EPIK A-001-GB L201-271 (темно-синий/ светло-серый),"Пятилучье алюминиевое А-001-GB, покрытие глянцевое, диаметр 700мм","Подлокотники алюминиевые «титан» A-001-GB с мягкими накладками, глянцевое покрытие","Высококачественный газ-лифт 3  класса, сертифицирован по стандарту SGS и BIFMA","Удобный и проверенный временем механизм итальянского производства, с фиксацией наклона в любом положении, регулировкой жесткости отклонения и управлением высоты газ-лифта",Регулируемый подголовник имеет увеличенную подушку с уникальным рисунком,Прочные пластиковые ролики с идеальной плавностью вращения
Кресло EPIK A-007-G L170 (зеленый),"Пятилучье алюминиевое А-007-G, покрытие глянцевое, диаметр 760 мм","Подлокотники алюминиевые A-007-G регулируемые с мягкими накладками из натуральной кожи с фиксацией в нескольких положениях, чехол из ABS- пластика","Высококачественный газ-лифт 3  класса, сертифицирован по стандарту SGS и BIFMA",Синхронный механизм со скольжением сиденья,Декоративные вставки из ABS-пластика с аквапринтом,Прочные пластиковые ролики с идеальной плавностью вращения
Кресло EPIK A-007-G L169 (черный),"Пятилучье алюминиевое А-007-G, покрытие глянцевое, диаметр 760 мм","Подлокотники алюминиевые A-007-G регулируемые с мягкими накладками из натуральной кожи с фиксацией в нескольких положениях, чехол из ABS- пластика","Высококачественный газ-лифт 3  класса, сертифицирован по стандарту SGS и BIFMA",Синхронный механизм со скольжением сиденья,Декоративные вставки из ABS-пластика с аквапринтом,Прочные пластиковые ролики с идеальной плавностью вращения
Кресло EPIK A-130-G (черный),"Пятилучье алюминиевое А-130-G, покрытие глянцевое, диаметр 700мм",Подлокотники алюминиевые A-130-G с мягкими полиуретановыми накладками,Высококачественный газ-лифт 3 класса Germany DIN 4550,"Механизм качания позволяет регулировать высоту сиденья, жесткость отклонения и обеспечивает фиксацию наклона в 4-х положениях.",Увеличенная мягкая зона поясничной поддержки,Полиуретановые ролики 60 мм
Кресло EPIK A-130-G (коричневый),"Пятилучье алюминиевое А-130-G, покрытие глянцевое, диаметр 700мм",Подлокотники алюминиевые A-130-G с мягкими полиуретановыми накладками,Высококачественный газ-лифт 3 класса Germany DIN 4550,"Механизм качания позволяет регулировать высоту сиденья, жесткость отклонения и обеспечивает фиксацию наклона в 4-х положениях.",Увеличенная мягкая зона поясничной поддержки,Полиуретановые ролики 60 мм
Кресло EPIK A-011-G 169 (черный),"Пятилучье алюминиевое А-011-G, покрытие глянцевое, диаметр 700мм",Подлокотники алюминиевые A-011-G регулируемые с мягкими накладками из экокожи,"Высококачественный газ-лифт 3  класса, сертифицирован по стандарту SGS и BIFMA",Синхронный механизм с фиксацией в 4-х положениях,Подлокотники регулируются при использовании механизма отклонения спинки и сиденья,Прочные пластиковые ролики с идеальной плавностью вращения
Каталог офисных кресел,,,,,,
Кресло EPIK A-001-MB 235-187 (кремовый/ светло-серый),"Пятилучье алюминиевое А-001-МВ, покрытие матовое, диаметр 700мм","Подлокотники алюминиевые «титан» A-001-MB с мягкими накладками, матовое покрытие","Высококачественный газ-лифт 3  класса, сертифицирован по стандарту SGS и BIFMA","Удобный и проверенный временем механизм итальянского производства, с фиксацией наклона в любом положении, регулировкой жесткости отклонения и управлением высоты газ-лифта",Регулируемый подголовник имеет увеличенную подушку с уникальным рисунком,Прочные пластиковые ролики с идеальной плавностью вращения
Кресло EPIK A-007-G L200 (коричневый),"Пятилучье алюминиевое А-007-G, покрытие глянцевое, диаметр 760 мм","Подлокотники алюминиевые A-007-G регулируемые с мягкими накладками из натуральной кожи с фиксацией в нескольких положениях, чехол из ABS- пластика","Высококачественный газ-лифт 3  класса, сертифицирован по стандарту SGS и BIFMA",Синхронный механизм со скольжением сиденья,Декоративные вставки из ABS-пластика с аквапринтом,Прочные пластиковые ролики с идеальной плавностью вращения
